text_name,text
LO1,"Define key measures of surface freshwater quality (DO, turbidity, TSS, metals, chlorophyll-a)."
LO2,"Explain what HABs are (rapid growth of phytoplankton), how HABs arise (high nutrients, warm temperatures, thermal stratification), and the water quality effects of HABs (toxins, turbidity, TSS, low DO which can affect metals release)."
LO3,Interpret water quality using high-frequency sensor data from a drinking water reservoir.
LO4,Develop recommendations for water withdrawal and treatment for a drinking water reservoir using high-frequency sensor data.
act_A,Access and explore high-frequency water quality data from a drinking water reservoir in southwest Virginia
water_quality,"Water quality is the suitability of water for human use, such as drinking water or irrigation, as well as the degree to which a water body can support important ecosystem processes, such as sustaining a fish population."
high_freq_data,"High-frequency water quality data are measurements of various attributes of a water body (such as temperature, dissolved oxygen, pH, etc.) that are taken many times a day (for example, every 10 minutes). High-frequency data allow water managers and scientists to observe and analyze patterns and trends in water quality that were not previously measurable using low-frequency (once a day or even less frequently) measurements."
collection,"High-frequency water quality data are often collected using automated sensors. These sensors are deployed in a water body attached to buoys, catwalks, or other structures and collect data continuously. Many of these sensors are automated, which means they can wirelessly stream data to a server so that it is accessible to managers in near-real time."
workflow1,Watch the introductory presentation provided at the link in your Canvas module.
workflow2,"Complete Activities A, B, and C in this web app."
workflow3,"When you are prompted to answer questions in the app, enter your answers in the Canvas quiz provided as part of the Canvas module."
workflow4,"As you work, you can save your progress in the web app using the 'Bookmark my progress' button described below, and you can save your progress in the quiz using the 'Save' button on Canvas."
act_B,Use high-frequency water quality data to explore how water quality changes and make decisions about water withdrawal depth over the course of a year 
act_C,Make water treatment decisions using high-frequency water quality data and water quality forecasts
acknowledgement,"This module was initially developed by: Lofton, M.E., Cooke, R.L., and C.C. Carey. XX February 2024. Macrosystems EDDIE: Using High-Frequency Data to Manage Water Quality. Macrosystems EDDIE Module 9, Version 1. https://serc.carleton.edu/eddie/teaching_materials/modules/module9.html. Module development was supported by NSF grants XXX."
site_photo,"When you select a site in the table, you will see a photo of your chosen Virginia Reservoirs LTREB drinking water reservoir."
fcre,"Falling Creek Reservoir (fcre) is a small drinking water supply reservoir located near Roanoke, VA. It is owned and operated by the Western Virginia Water Authority as a drinking water supply for Vinton, VA. Falling Creek Reservoir has a surface area of 1,306,427 square feet and a maximum depth of 30.5 feet. From 2013-2023, the mean total phosphorus concentration at the reservoir's surface was 21.7 ug/L. From 2018-2022, the mean surface pH was 7.8. "
bvre,"Beaverdam Reservoir (bvre) is a small drinking water supply reservoir located near Roanoke, VA. It is owned and operated by the Western Virginia Water Authority as a drinking water supply for Vinton, VA. Beaverdam Reservoir has a surface area of 4,240,658 square feet and a maximum depth of 46 feet. From 2013-2023, the mean total phosphorus concentration at the reservoir's surface was 16.2 ug/L. From 2018-2022, the mean surface pH was 7.9. "
turb,"Turbidity is a measure of water clarity. Increases in turbidity may be caused by the presence of any of the following substances in water: silt and clay, microorganisms, or substances dissolved in the water, such as organic matter."
